step,time,u_avg,u_exact_avg
1084,0.239224,0.098079,0.098106
1088,0.240107,0.097713,0.097740
1092,0.240990,0.097348,0.097375
1096,0.241873,0.096985,0.097012
1100,0.242755,0.096623,0.096650
1104,0.243638,0.096262,0.096289
1108,0.244521,0.095903,0.095930
1112,0.245403,0.095545,0.095572
1116,0.246286,0.095189,0.095216
1120,0.247169,0.094833,0.094860
1124,0.248052,0.094480,0.094507
1128,0.248934,0.094127,0.094154
1132,0.249817,0.093776,0.093803
1136,0.250700,0.093426,0.093453
1140,0.251583,0.093077,0.093104
1144,0.252465,0.092730,0.092757
1148,0.253348,0.092384,0.092411
1152,0.254231,0.092039,0.092066
1156,0.255114,0.091696,0.091723
1160,0.255996,0.091353,0.091380
1164,0.256879,0.091013,0.091039
1168,0.257762,0.090673,0.090700
1172,0.258645,0.090335,0.090361
1176,0.259527,0.089997,0.090024
1180,0.260410,0.089662,0.089689
1184,0.261293,0.089327,0.089354
1188,0.262176,0.088994,0.089021
1192,0.263058,0.088662,0.088689
1196,0.263941,0.088331,0.088358
1200,0.264824,0.088001,0.088028
1204,0.265707,0.087673,0.087700
1208,0.266589,0.087346,0.087372
1212,0.267472,0.087020,0.087046
1216,0.268355,0.086695,0.086722
1220,0.269238,0.086371,0.086398
1224,0.270120,0.086049,0.086076
1228,0.271003,0.085728,0.085755
1232,0.271886,0.085408,0.085435
1236,0.272769,0.085089,0.085116
1240,0.273651,0.084772,0.084799
1244,0.274534,0.084455,0.084482
1248,0.275417,0.084140,0.084167
1252,0.276300,0.083826,0.083853
1256,0.277182,0.083514,0.083540
1260,0.278065,0.083202,0.083229
1264,0.278948,0.082891,0.082918
1268,0.279831,0.082582,0.082609
1272,0.280713,0.082274,0.082301
1276,0.281596,0.081967,0.081994
1280,0.282479,0.081661,0.081688
1284,0.283362,0.081356,0.081383
1288,0.284244,0.081053,0.081079
1292,0.285127,0.080750,0.080777
1296,0.286010,0.080449,0.080475
1300,0.286893,0.080149,0.080175
1304,0.287775,0.079850,0.079876
1308,0.288658,0.079552,0.079578
1312,0.289541,0.079255,0.079281
1316,0.290424,0.078959,0.078986
1320,0.291306,0.078664,0.078691
1324,0.292189,0.078371,0.078397
1328,0.293072,0.078078,0.078105
1332,0.293955,0.077787,0.077813
1336,0.294837,0.077497,0.077523
1340,0.295720,0.077208,0.077234
1344,0.296603,0.076919,0.076946
