step,time,u_avg_total,u_avg_cube
79000,231.677002,20.395926,31.465286
79200,232.263519,20.395920,31.445103
79400,232.850052,20.395916,31.425028
79600,233.436569,20.395914,31.405033
79800,234.023102,20.395910,31.385164
80000,234.609619,20.395906,31.365330
80200,235.196136,20.395905,31.345510
80400,235.782669,20.395901,31.325748
80600,236.369186,20.395897,31.306103
80800,236.955719,20.395893,31.286551
81000,237.542236,20.395887,31.267094
81200,238.128769,20.395884,31.247646
81400,238.715286,20.395880,31.228214
81600,239.301804,20.395876,31.208830
81800,239.888336,20.395872,31.189560
82000,240.474854,20.395866,31.170359
82200,241.061386,20.395863,31.151283
82400,241.647903,20.395859,31.132215
82600,242.234436,20.395853,31.113159
82800,242.820953,20.395849,31.094166
83000,243.407486,20.395845,31.075291
83200,243.994003,20.395842,31.056486
83400,244.580521,20.395836,31.037794
83600,245.167053,20.395830,31.019108
83800,245.753571,20.395824,31.000429
84000,246.340103,20.395819,30.981791
84200,246.926620,20.395815,30.963270
84400,247.513153,20.395809,30.944792
84600,248.099670,20.395805,30.926443
84800,248.686203,20.395802,30.908134
85000,249.272720,20.395798,30.889833
85200,249.859238,20.395794,30.871550
85400,250.445770,20.395790,30.853386
85600,251.032288,20.395784,30.835279
85800,251.618820,20.395781,30.817270
86000,252.205338,20.395779,30.799341
86200,252.791870,20.395775,30.781418
86400,253.378387,20.395771,30.763504
86600,253.964905,20.395765,30.745621
86800,254.551437,20.395760,30.727852
87000,255.137955,20.395756,30.710127
87200,255.724487,20.395752,30.692513
87400,256.311005,20.395746,30.674967
87600,256.897522,20.395742,30.657423
87800,257.484070,20.395739,30.639891
88000,258.070587,20.395733,30.622421
88200,258.657104,20.395727,30.605062
88400,259.243622,20.395723,30.587740
88600,259.830139,20.395718,30.570543
88800,260.416687,20.395714,30.553377
89000,261.003204,20.395708,30.536215
89200,261.589722,20.395704,30.519066
89400,262.176239,20.395699,30.501947
89600,262.762787,20.395693,30.484938
89800,263.349304,20.395689,30.467972
90000,263.935822,20.395683,30.451105
90200,264.522339,20.395679,30.434320
90400,265.108856,20.395674,30.417540
90600,265.695404,20.395670,30.400764
90800,266.281921,20.395664,30.384020
91000,266.868439,20.395658,30.367392
91200,267.454956,20.395655,30.350807
91400,268.041504,20.395649,30.334291
91600,268.628021,20.395643,30.317884
91800,269.214539,20.395638,30.301483
92000,269.801056,20.395632,30.285086
92200,270.387573,20.395626,30.268700
92400,270.974121,20.395618,30.252348
92600,271.560638,20.395613,30.236095
92800,272.147156,20.395607,30.219893
93000,272.733673,20.395599,30.203753
93200,273.320221,20.395594,30.187719
