step,time,u_avg,u_exact_avg
5584,0.312873,0.070203,0.070209
5600,0.313770,0.069937,0.069943
5616,0.314666,0.069672,0.069678
5632,0.315563,0.069408,0.069414
5648,0.316459,0.069145,0.069151
5664,0.317356,0.068883,0.068889
5680,0.318252,0.068622,0.068628
5696,0.319149,0.068362,0.068368
5712,0.320045,0.068103,0.068109
5728,0.320942,0.067845,0.067851
5744,0.321838,0.067588,0.067594
5760,0.322735,0.067332,0.067338
5776,0.323631,0.067077,0.067083
5792,0.324528,0.066822,0.066829
5808,0.325424,0.066569,0.066576
5824,0.326321,0.066317,0.066323
5840,0.327217,0.066066,0.066072
5856,0.328114,0.065815,0.065822
5872,0.329010,0.065566,0.065572
5888,0.329907,0.065318,0.065324
5904,0.330803,0.065070,0.065077
5920,0.331700,0.064824,0.064830
5936,0.332596,0.064578,0.064584
5952,0.333493,0.064333,0.064340
5968,0.334389,0.064090,0.064096
5984,0.335286,0.063847,0.063853
6000,0.336182,0.063605,0.063611
6016,0.337079,0.063364,0.063370
6032,0.337975,0.063124,0.063130
6048,0.338872,0.062885,0.062891
6064,0.339768,0.062646,0.062653
6080,0.340664,0.062409,0.062415
6096,0.341561,0.062173,0.062179
6112,0.342457,0.061937,0.061943
6128,0.343354,0.061702,0.061709
6144,0.344250,0.061469,0.061475
6160,0.345147,0.061236,0.061242
6176,0.346043,0.061004,0.061010
6192,0.346940,0.060773,0.060779
6208,0.347836,0.060542,0.060549
6224,0.348733,0.060313,0.060319
6240,0.349629,0.060084,0.060091
6256,0.350526,0.059857,0.059863
6272,0.351422,0.059630,0.059636
6288,0.352319,0.059404,0.059410
6304,0.353215,0.059179,0.059185
6320,0.354112,0.058955,0.058961
6336,0.355008,0.058731,0.058738
6352,0.355905,0.058509,0.058515
6368,0.356801,0.058287,0.058293
6384,0.357698,0.058066,0.058072
6400,0.358594,0.057846,0.057852
6416,0.359491,0.057627,0.057633
6432,0.360387,0.057409,0.057415
6448,0.361284,0.057191,0.057197
6464,0.362180,0.056975,0.056981
6480,0.363077,0.056759,0.056765
6496,0.363973,0.056544,0.056550
6512,0.364870,0.056329,0.056336
6528,0.365766,0.056116,0.056122
6544,0.366663,0.055903,0.055909
6560,0.367559,0.055692,0.055698
6576,0.368456,0.055481,0.055487
6592,0.369352,0.055270,0.055276
6608,0.370248,0.055061,0.055067
6624,0.371145,0.054852,0.054858
6640,0.372041,0.054645,0.054651
6656,0.372938,0.054437,0.054443
6672,0.373834,0.054231,0.054237
6688,0.374731,0.054026,0.054032
6704,0.375627,0.053821,0.053827
6720,0.376524,0.053617,0.053623
6736,0.377420,0.053414,0.053420
6752,0.378317,0.053212,0.053218
6768,0.379213,0.053010,0.053016
6784,0.380110,0.052809,0.052815
6800,0.381006,0.052609,0.052615
6816,0.381903,0.052410,0.052416
6832,0.382799,0.052211,0.052217
6848,0.383696,0.052013,0.052019
6864,0.384592,0.051816,0.051822
6880,0.385489,0.051620,0.051626
6896,0.386385,0.051424,0.051430
6912,0.387282,0.051230,0.051235
6928,0.388178,0.051035,0.051041
6944,0.389075,0.050842,0.050848
6960,0.389971,0.050649,0.050655
6976,0.390868,0.050458,0.050463
6992,0.391764,0.050266,0.050272
7008,0.392661,0.050076,0.050082
7024,0.393557,0.049886,0.049892
7040,0.394454,0.049697,0.049703
7056,0.395350,0.049509,0.049515
7072,0.396247,0.049321,0.049327
7088,0.397143,0.049134,0.049140
7104,0.398040,0.048948,0.048954
7120,0.398936,0.048763,0.048769
7136,0.399833,0.048578,0.048584
7152,0.400729,0.048394,0.048400
7168,0.401625,0.048211,0.048216
7184,0.402522,0.048028,0.048034
7200,0.403418,0.047846,0.047852
7216,0.404315,0.047665,0.047670
7232,0.405211,0.047484,0.047490
7248,0.406108,0.047304,0.047310
7264,0.407004,0.047125,0.047131
7280,0.407901,0.046946,0.046952
7296,0.408797,0.046769,0.046774
7312,0.409694,0.046591,0.046597
7328,0.410590,0.046415,0.046420
7344,0.411487,0.046239,0.046245
7360,0.412383,0.046064,0.046069
7376,0.413280,0.045889,0.045895
7392,0.414176,0.045715,0.045721
7408,0.415073,0.045542,0.045548
7424,0.415969,0.045370,0.045375
7440,0.416866,0.045198,0.045203
7456,0.417762,0.045026,0.045032
7472,0.418659,0.044856,0.044861
7488,0.419555,0.044686,0.044691
7504,0.420452,0.044517,0.044522
7520,0.421348,0.044348,0.044353
7536,0.422245,0.044180,0.044185
7552,0.423141,0.044013,0.044018
7568,0.424038,0.043846,0.043851
7584,0.424934,0.043680,0.043685
7600,0.425831,0.043514,0.043520
7616,0.426727,0.043349,0.043355
7632,0.427624,0.043185,0.043191
7648,0.428520,0.043021,0.043027
7664,0.429417,0.042858,0.042864
7680,0.430313,0.042696,0.042701
7696,0.431210,0.042534,0.042540
7712,0.432106,0.042373,0.042379
7728,0.433002,0.042213,0.042218
7744,0.433899,0.042053,0.042058
7760,0.434795,0.041893,0.041899
7776,0.435692,0.041735,0.041740
7792,0.436588,0.041576,0.041582
7808,0.437485,0.041419,0.041424
7824,0.438381,0.041262,0.041267
7840,0.439278,0.041106,0.041111
7856,0.440174,0.040950,0.040955
7872,0.441071,0.040795,0.040800
7888,0.441967,0.040640,0.040646
7904,0.442864,0.040486,0.040492
7920,0.443760,0.040333,0.040338
7936,0.444657,0.040180,0.040185
7952,0.445553,0.040028,0.040033
7968,0.446450,0.039876,0.039881
7984,0.447346,0.039725,0.039730
8000,0.448243,0.039575,0.039580
8016,0.449139,0.039425,0.039430
8032,0.450036,0.039275,0.039280
8048,0.450932,0.039126,0.039132
8064,0.451829,0.038978,0.038983
8080,0.452725,0.038830,0.038836
8096,0.453622,0.038683,0.038689
8112,0.454518,0.038537,0.038542
8128,0.455415,0.038391,0.038396
8144,0.456311,0.038245,0.038250
8160,0.457208,0.038100,0.038106
8176,0.458104,0.037956,0.037961
8192,0.459001,0.037812,0.037817
8208,0.459897,0.037669,0.037674
8224,0.460794,0.037526,0.037531
8240,0.461690,0.037384,0.037389
8256,0.462586,0.037242,0.037248
8272,0.463483,0.037101,0.037106
8288,0.464379,0.036961,0.036966
8304,0.465276,0.036821,0.036826
8320,0.466172,0.036681,0.036686
8336,0.467069,0.036542,0.036547
8352,0.467965,0.036404,0.036409
8368,0.468862,0.036266,0.036271
8384,0.469758,0.036128,0.036133
8400,0.470655,0.035992,0.035997
8416,0.471551,0.035855,0.035860
